k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
211013159,13.435,0.02,12.77,0.019,12.55,0.02,17.83,7.99,0.08,3.010007,0.99770606,-0.012957451,0.3959222,0.2772,0.0038,3239.0,42.0
211013046,13.666,0.022,13.061,0.019,12.81,0.022,18.19,6.922,0.093,2.98246,1.0305912,0.6319317,0.0,0.2839,0.0048,3199.0,43.0
210956678,13.956,0.023,13.363,0.024,13.072,0.023,19.25,7.418,0.116,3.3530045,0.9769417,-0.40406278,0.0,0.2338,0.0046,2982.0,42.0
211025925,12.976,0.022,12.341,0.021,12.068,0.02,17.19,7.531,0.051,2.7755547,1.1183434,2.4235172,2.1900606,0.3642,0.0038,3297.0,43.0
211008438,11.899,0.017,11.247,0.021,11.036,0.017,15.156,7.413,0.025,2.1313496,1.1676027,3.524617,1.4677532,0.5379,0.003,3665.0,43.0
210946466,12.767,0.015,12.122,0.017,11.893,0.017,16.73,7.102,0.044,2.6199179,1.1068015,1.9942144,2.0285056,0.4121,0.0035,3383.0,42.0
210979439,13.624,0.021,12.982,0.023,12.73,0.022,18.43,7.605,0.085,3.0836725,0.9682968,-0.6648322,0.0,0.2679,0.0041,3115.0,42.0
211054634,12.675,0.019,12.073,0.019,11.834,0.017,17.18,7.735,0.051,2.9731255,1.0551088,1.1414003,1.1497785,0.3918,0.0035,3205.0,42.0
211070495,13.76,0.026,13.139,0.033,12.831,0.028,18.47,7.744,0.08,3.0651522,1.0323466,0.7125067,1.516047,0.2508,0.0043,3143.0,43.0
211079106,13.441,0.025,12.828,0.029,12.517,0.025,17.9,7.448,0.066,3.0038986,0.97000706,-0.56316686,0.0,0.302,0.0043,3219.0,43.0
211036360,11.949,0.015,11.268,0.019,11.057,0.015,14.294,7.488,0.028,2.1775074,1.0477535,1.0057884,0.8726903,0.5309,0.0028,4240.0,76.0
211044536,9.585,0.015,9.241,0.019,9.148,0.015,10.9,7.499,0.019,0.9111519,0.9385416,-1.2920165,7.7589993,1.0332,0.0025,5320.0,77.0
211028209,9.531,0.017,9.192,0.021,9.123,0.015,11.007,7.563,0.017,0.8932123,1.0724381,1.4261699,7.0294414,1.0342,0.0025,5124.0,78.0
211039307,10.735,0.015,10.209,0.021,10.083,0.017,12.735,7.522,0.018,1.3631744,1.1481409,3.121276,6.5794706,0.6803,0.0026,4555.0,76.0
211078393,13.839,0.029,13.224,0.033,12.944,0.028,18.7,7.249,0.082,3.180622,1.0101063,0.2417788,0.66290647,0.2544,0.0045,3099.0,43.0
211046948,12.915,0.017,12.277,0.021,12.003,0.02,17.23,7.5,0.048,2.7386227,1.0471059,0.9636875,0.25298434,0.3757,0.0038,3265.0,42.0
211026087,11.451,0.015,10.787,0.019,10.631,0.015,14.084,7.224,0.018,1.7266588,1.0215166,0.4946376,0.0,0.6111,0.0025,4013.0,76.0
211018106,13.646,0.022,13.082,0.029,12.822,0.023,18.35,7.354,0.065,3.13842,0.97007865,-0.6578988,0.0,0.2655,0.0037,3145.0,43.0
211046102,9.761,0.015,9.407,0.021,9.313,0.016,11.143,7.45,0.018,0.96062183,0.9286118,-1.3820919,6.9051323,1.0094,0.0027,5237.0,77.0
211067927,13.969,0.021,13.329,0.032,13.064,0.026,18.87,7.86,0.091,3.1697445,0.95180583,-0.97300935,0.0,0.221,0.0038,3087.0,42.0
211049396,11.71,0.013,11.036,0.017,10.873,0.016,14.636,7.582,0.021,1.8860197,1.0402107,0.834164,0.46353257,0.5564,0.0028,3816.0,75.0
211002985,14.081,0.02,13.485,0.03,13.162,0.027,19.1,7.382,0.094,3.2460575,0.9410097,-1.167539,0.0,0.2251,0.0042,3054.0,42.0
210998478,12.747,0.017,12.168,0.023,11.902,0.018,16.83,7.485,0.046,2.6748362,1.141276,2.9554257,2.0042653,0.3923,0.0036,3341.0,42.0
211077349,12.512,0.019,11.841,0.026,11.61,0.022,16.38,7.374,0.036,2.537527,1.0553981,1.1756898,0.81935346,0.4451,0.004,3416.0,43.0
211059979,12.025,0.018,11.38,0.021,11.108,0.022,15.98,7.129,0.071,2.7090015,0.9305524,-1.4286106,24.474705,0.54,0.005,3385.0,42.0
211098454,12.528,0.021,11.882,0.03,11.614,0.019,16.28,7.22,0.035,2.5035162,1.0722638,1.6205403,0.0,0.452,0.0036,3459.0,43.0
211084148,14.501,0.032,13.909,0.037,13.625,0.035,19.83,7.231,0.129,3.4577827,1.0448145,0.98319846,1.3637798,0.1846,0.0045,2973.0,43.0
210832378,13.649,0.021,13.064,0.023,12.794,0.022,18.54,8.163,0.085,3.1062698,1.0003763,0.043008585,0.5539268,0.2417,0.0036,3090.0,42.0
